event,detId,x,y,z,width,isSeed,mip,modType
11,443333697,991,0,0,3,1,0,1
11,443333697,998,0,0,3,1,0,1
11,439108642,176,0,0,2,0,0,2
11,439108641,178,19,3,2,1,0,2
11,440146962,17,0,0,1,0,1,2
11,442248234,686,0,0,1,0,0,1
11,442248233,682,0,0,2,1,0,1
11,440146961,16,25,9,2,1,0,2
11,441197610,893,1,0,1,0,0,1
11,441197609,891,1,0,1,1,0,1
11,443332674,127,0,0,2,0,0,1
11,443332673,131,0,0,2,1,0,1
12,439616650,673,0,0,1,0,1,2
12,420525182,276,0,0,1,0,0,1
12,420525181,275,0,0,1,1,0,1
12,439616649,673,21,5,1,1,0,2
12,438838322,624,0,0,1,0,1,2
12,420258934,352,1,0,2,0,0,1
12,420258933,352,1,0,1,1,0,1
12,438571110,57,0,0,1,0,1,2
12,411612354,187,0,0,1,0,0,1
12,411612353,187,0,0,1,1,0,1
12,438571109,59,17,1,1,1,0,2
12,411341974,818,0,0,1,0,0,2
12,411341973,818,10,10,1,1,0,2
12,411341973,818,11,11,1,1,0,2
12,412136702,263,0,0,1,0,0,1
12,412136701,262,0,0,1,1,0,1
12,419726410,424,0,0,1,0,1,2
12,419726410,442,0,0,4,0,1,2
12,419726409,423,1,1,1,1,0,2
12,439889990,681,0,0,1,0,0,2
12,439889989,681,24,8,1,1,0,2
12,420000862,874,1,0,2,0,0,1
12,420000861,873,1,0,1,1,0,1
12,419730506,433,0,0,1,0,1,2
12,419730505,432,28,12,1,1,0,2
12,419730505,430,29,13,1,1,0,2
12,420254822,808,0,0,1,0,0,1
12,420254821,807,0,0,1,1,0,1
12,412140826,423,1,0,1,0,0,1
12,412140825,422,1,0,1,1,0,1
12,437524550,637,0,0,2,0,0,2
12,437524549,627,11,11,2,1,0,2
12,437524549,635,11,11,1,1,0,2
12,437524549,637,11,11,1,1,0,2
12,437524549,642,11,11,1,1,0,2
12,437524549,642,12,12,1,1,0,2
12,411870446,743,1,0,2,0,0,1
12,411870445,743,1,0,1,1,0,1
12,437788706,197,0,0,2,0,1,2
12,437788705,195,12,12,2,1,0,2
13,411309126,24,0,0,1,0,1,2
13,411309125,22,23,7,2,1,0,2
13,419959834,235,0,0,1,0,1,2
13,419959833,234,9,9,1,1,0,2
13,411309122,141,0,0,2,0,0,2
13,411833438,341,0,0,1,0,1,2
13,411833437,341,13,13,1,1,0,2
13,437519422,335,0,0,1,0,1,2
13,437519421,336,1,1,1,1,0,2
13,411309121,143,20,4,1,1,0,2
13,411575378,781,0,0,1,0,0,2
13,411575377,781,18,2,1,1,0,2
13,420221990,164,0,0,2,0,0,2
13,420221989,165,30,14,1,1,0,2
13,420758570,776,0,0,2,0,0,2
13,420758569,776,13,13,1,1,0,2
13,420758569,765,14,14,3,1,0,2
13,420758569,776,14,14,2,1,0,2
13,412103786,440,0,0,2,0,1,2
13,412103785,441,22,6,1,1,0,2
13,420488230,87,0,0,2,0,0,2
13,420488229,88,11,11,1,1,0,2
13,412374134,721,0,0,2,0,0,2
13,412374133,722,25,9,1,1,0,2
14,419726362,790,0,0,1,0,1,2
14,412361842,156,0,0,1,0,1,2
14,412361841,156,18,2,2,1,0,2
